sess_date,year,entry_ts,cutoff_ts,side,level,anchor,stop_pts,pnl_standard,exit_standard,pnl_be60,exit_be60
2020-02-04,2020,2020-02-04 07:40:00-0500,2020-02-04 15:00:00-0500,upper,9252.011794,19.0,28.5,-28.5,SL,-0.0,BE
2020-02-04,2020,2020-02-04 10:40:00-0500,2020-02-04 15:00:00-0500,upper,9289.789046,49.0,73.5,-55.961,cutoff,-0.0,BE
2020-02-04,2020,2020-02-04 10:42:00-0500,2020-02-04 15:00:00-0500,upper,9294.3999,49.0,73.5,-51.3501,cutoff,-0.0,BE
2020-02-11,2020,2020-02-10 20:45:00-0500,2020-02-11 15:00:00-0500,upper,9567.695695,32.5,48.75,31.6957,cutoff,-0.0,BE
2020-02-14,2020,2020-02-13 22:02:00-0500,2020-02-14 15:00:00-0500,upper,9650.07789,21.0,31.5,31.5,TP,31.5,TP
2020-02-17,2020,2020-02-16 20:47:00-0500,2020-02-17 15:00:00-0500,upper,9673.031877,13.25,19.875,6.5319,cutoff,-0.0,BE
2020-02-17,2020,2020-02-17 00:41:00-0500,2020-02-17 15:00:00-0500,upper,9676.808177,4.25,6.375,-6.375,SL,-6.375,SL
2020-02-19,2020,2020-02-19 07:58:00-0500,2020-02-19 15:00:00-0500,upper,9684.604785,9.5,14.25,-14.25,SL,-0.0,BE
2020-02-19,2020,2020-02-19 09:36:00-0500,2020-02-19 15:00:00-0500,upper,9706.908512,8.75,13.125,-13.125,SL,-13.125,SL
2020-02-21,2020,2020-02-21 09:49:00-0500,2020-02-21 15:00:00-0500,lower,9489.093123,21.5,32.25,32.25,TP,32.25,TP
2020-02-21,2020,2020-02-21 09:49:00-0500,2020-02-21 15:00:00-0500,lower,9500.395215,21.5,32.25,32.25,TP,0.0,BE
2020-02-24,2020,2020-02-23 21:27:00-0500,2020-02-24 15:00:00-0500,lower,9281.154487,19.5,29.25,-29.25,SL,0.0,BE
2020-02-24,2020,2020-02-24 04:16:00-0500,2020-02-24 15:00:00-0500,lower,9156.767106,87.0,130.5,3.7329,cutoff,0.0,BE
2020-02-27,2020,2020-02-26 22:58:00-0500,2020-02-27 15:00:00-0500,lower,8724.757468,50.25,75.375,75.375,TP,0.0,BE
2020-03-02,2020,2020-03-01 20:31:00-0500,2020-03-02 15:00:00-0500,upper,8455.361761,73.25,109.875,-109.875,SL,-0.0,BE
2020-03-06,2020,2020-03-05 22:53:00-0500,2020-03-06 15:00:00-0500,lower,8551.27575,56.25,84.375,-84.375,SL,0.0,BE
2020-03-06,2020,2020-03-06 04:37:00-0500,2020-03-06 15:00:00-0500,lower,8518.95327,67.25,100.875,-100.875,SL,-100.875,SL
2020-03-12,2020,2020-03-12 09:30:00-0400,2020-03-12 15:00:00-0400,lower,7595.599926,4.25,6.375,-6.375,SL,-6.375,SL
2020-03-20,2020,2020-03-20 03:26:00-0400,2020-03-20 15:00:00-0400,upper,7511.458737,169.5,200.0,200.0,TP,-0.0,BE
2020-03-20,2020,2020-03-20 03:44:00-0400,2020-03-20 15:00:00-0400,upper,7562.472908,169.5,200.0,200.0,TP,-0.0,BE
2020-03-24,2020,2020-03-24 04:07:00-0400,2020-03-24 15:00:00-0400,upper,7322.838733,60.5,90.75,-90.75,SL,-0.0,BE
2020-03-25,2020,2020-03-25 03:59:00-0400,2020-03-25 15:00:00-0400,upper,7646.303695,102.5,153.75,153.75,TP,-0.0,BE
2020-03-25,2020,2020-03-25 04:29:00-0400,2020-03-25 15:00:00-0400,upper,7668.104141,115.75,173.625,173.625,TP,-0.0,BE
2020-03-25,2020,2020-03-25 04:47:00-0400,2020-03-25 15:00:00-0400,upper,7684.401915,115.75,173.625,173.625,TP,-0.0,BE
2020-03-25,2020,2020-03-25 05:07:00-0400,2020-03-25 15:00:00-0400,upper,7726.543669,116.25,174.375,174.375,TP,174.375,TP
2020-03-31,2020,2020-03-30 20:01:00-0400,2020-03-31 15:00:00-0400,upper,7888.718408,31.0,46.5,-46.5,SL,-0.0,BE
2020-03-31,2020,2020-03-30 21:02:00-0400,2020-03-31 15:00:00-0400,upper,7909.778477,29.0,43.5,43.5,TP,-0.0,BE
2020-03-31,2020,2020-03-31 05:22:00-0400,2020-03-31 15:00:00-0400,upper,7949.624439,37.5,56.25,56.25,TP,56.25,TP
2020-04-01,2020,2020-04-01 01:49:00-0400,2020-04-01 15:00:00-0400,lower,7578.254554,38.0,57.0,57.0,TP,0.0,BE
2020-04-02,2020,2020-04-02 09:14:00-0400,2020-04-02 15:00:00-0400,lower,7388.105823,145.0,200.0,200.0,TP,200.0,TP
2020-04-06,2020,2020-04-05 20:17:00-0400,2020-04-06 15:00:00-0400,upper,7703.231612,32.5,48.75,-48.75,SL,-48.75,SL
2020-04-07,2020,2020-04-07 02:58:00-0400,2020-04-07 15:00:00-0400,upper,8151.870446,72.5,108.75,-108.75,SL,-0.0,BE
2020-04-09,2020,2020-04-09 09:43:00-0400,2020-04-09 15:00:00-0400,upper,8316.92189,171.75,200.0,143.1719,cutoff,143.1719,cutoff
2020-04-14,2020,2020-04-13 21:33:00-0400,2020-04-14 15:00:00-0400,upper,8377.974427,47.0,70.5,-70.5,SL,-0.0,BE
2020-04-14,2020,2020-04-14 09:34:00-0400,2020-04-14 15:00:00-0400,upper,8503.366634,40.5,60.75,-60.75,SL,-60.75,SL
2020-04-16,2020,2020-04-16 10:58:00-0400,2020-04-16 15:00:00-0400,upper,8708.551354,58.5,87.75,87.75,TP,-0.0,BE
2020-04-21,2020,2020-04-20 22:38:00-0400,2020-04-21 15:00:00-0400,lower,8627.887119,49.75,74.625,74.625,TP,74.625,TP
2020-04-21,2020,2020-04-21 09:37:00-0400,2020-04-21 15:00:00-0400,lower,8582.137176,32.5,48.75,-48.75,SL,-48.75,SL
2020-04-23,2020,2020-04-23 10:23:00-0400,2020-04-23 15:00:00-0400,upper,8752.552577,81.25,121.875,121.875,TP,-0.0,BE
2020-04-27,2020,2020-04-26 22:06:00-0400,2020-04-27 15:00:00-0400,upper,8823.787808,40.75,61.125,-61.125,SL,-0.0,BE
2020-04-27,2020,2020-04-27 00:00:00-0400,2020-04-27 15:00:00-0400,upper,8842.999663,20.5,30.75,-30.75,SL,-30.75,SL
2020-04-28,2020,2020-04-28 05:20:00-0400,2020-04-28 15:00:00-0400,upper,8898.367238,21.75,32.625,-32.625,SL,-32.625,SL
2020-05-05,2020,2020-05-05 03:30:00-0400,2020-05-05 15:00:00-0400,upper,8892.408305,23.75,35.625,35.625,TP,-0.0,BE
2020-05-07,2020,2020-05-07 05:36:00-0400,2020-05-07 15:00:00-0400,upper,9092.014338,23.75,35.625,35.625,TP,-0.0,BE
2020-05-08,2020,2020-05-07 20:00:00-0400,2020-05-08 15:00:00-0400,upper,9157.354943,28.75,43.125,-43.125,SL,-0.0,BE
2020-05-08,2020,2020-05-07 20:04:00-0400,2020-05-08 15:00:00-0400,upper,9164.406583,28.75,43.125,-43.125,SL,-0.0,BE
2020-05-11,2020,2020-05-10 19:33:00-0400,2020-05-11 15:00:00-0400,upper,9243.358037,45.5,68.25,68.25,TP,-0.0,BE
2020-05-13,2020,2020-05-12 19:45:00-0400,2020-05-13 15:00:00-0400,lower,9008.407743,47.0,70.5,70.5,TP,70.5,TP
2020-05-15,2020,2020-05-15 03:07:00-0400,2020-05-15 15:00:00-0400,upper,9130.678191,25.75,38.625,38.625,TP,-0.0,BE
2020-05-18,2020,2020-05-17 19:04:00-0400,2020-05-18 15:00:00-0400,upper,9169.976526,57.75,86.625,-86.625,SL,-0.0,BE
2020-05-18,2020,2020-05-18 10:59:00-0400,2020-05-18 15:00:00-0400,upper,9331.22028,60.5,90.75,1.7203,cutoff,-0.0,BE
2020-05-20,2020,2020-05-20 09:30:00-0400,2020-05-20 15:00:00-0400,upper,9425.837628,20.25,30.375,-30.375,SL,-30.375,SL
2020-05-22,2020,2020-05-21 22:54:00-0400,2020-05-22 15:00:00-0400,lower,9317.397406,44.0,66.0,-66.0,SL,0.0,BE
2020-05-22,2020,2020-05-22 01:29:00-0400,2020-05-22 15:00:00-0400,lower,9267.835064,26.0,39.0,39.0,TP,0.0,BE
2020-05-25,2020,2020-05-25 06:50:00-0400,2020-05-25 15:00:00-0400,upper,9515.473596,16.25,24.375,-15.0264,cutoff,-0.0,BE
2020-05-26,2020,2020-05-25 23:54:00-0400,2020-05-26 15:00:00-0400,upper,9572.289936,15.25,22.875,-22.875,SL,-0.0,BE
2020-05-27,2020,2020-05-27 10:46:00-0400,2020-05-27 15:00:00-0400,lower,9202.026404,131.5,197.25,197.25,TP,197.25,TP
2020-05-27,2020,2020-05-27 10:49:00-0400,2020-05-27 15:00:00-0400,lower,9182.905269,131.5,197.25,197.25,TP,197.25,TP
2020-06-02,2020,2020-06-02 02:29:00-0400,2020-06-02 15:00:00-0400,upper,9608.202721,27.0,40.5,-40.5,SL,-0.0,BE
2020-06-02,2020,2020-06-02 03:31:00-0400,2020-06-02 15:00:00-0400,upper,9624.1475,15.0,22.5,-22.5,SL,-0.0,BE
2020-06-02,2020,2020-06-02 04:18:00-0400,2020-06-02 15:00:00-0400,upper,9633.477594,33.5,50.25,50.25,TP,-0.0,BE
2020-06-03,2020,2020-06-02 20:45:00-0400,2020-06-03 15:00:00-0400,upper,9681.300958,37.5,56.25,-13.199,cutoff,-0.0,BE
2020-06-03,2020,2020-06-03 10:01:00-0400,2020-06-03 15:00:00-0400,upper,9702.493546,48.75,73.125,7.9935,cutoff,-0.0,BE
2020-06-04,2020,2020-06-04 09:50:00-0400,2020-06-04 15:00:00-0400,upper,9728.370408,40.75,61.125,61.125,TP,61.125,TP
2020-06-09,2020,2020-06-09 10:45:00-0400,2020-06-09 15:00:00-0400,upper,9943.60012,64.0,96.0,-38.3999,cutoff,-0.0,BE
2020-06-10,2020,2020-06-09 21:32:00-0400,2020-06-10 15:00:00-0400,upper,10005.261489,17.0,25.5,25.5,TP,-0.0,BE
2020-06-11,2020,2020-06-11 08:22:00-0400,2020-06-11 15:00:00-0400,lower,9906.194335,45.5,68.25,68.25,TP,0.0,BE
2020-06-15,2020,2020-06-15 01:36:00-0400,2020-06-15 15:00:00-0400,lower,9460.754592,43.0,64.5,-64.5,SL,-64.5,SL
2020-06-16,2020,2020-06-16 08:57:00-0400,2020-06-16 15:00:00-0400,upper,9998.480142,36.75,55.125,55.125,TP,55.125,TP
2020-06-19,2020,2020-06-19 08:36:00-0400,2020-06-19 15:00:00-0400,upper,10095.593961,21.5,32.25,32.25,TP,-0.0,BE
2020-06-19,2020,2020-06-19 09:28:00-0400,2020-06-19 15:00:00-0400,upper,10112.119355,22.0,33.0,33.0,TP,33.0,TP
2020-06-23,2020,2020-06-23 03:15:00-0400,2020-06-23 15:00:00-0400,upper,10164.240166,56.75,85.125,-85.125,SL,-0.0,BE
2020-06-23,2020,2020-06-23 03:16:00-0400,2020-06-23 15:00:00-0400,upper,10174.123909,56.75,85.125,-85.125,SL,-0.0,BE
2020-06-23,2020,2020-06-23 03:54:00-0400,2020-06-23 15:00:00-0400,upper,10182.930665,56.75,85.125,-85.125,SL,-0.0,BE
2020-06-23,2020,2020-06-23 10:42:00-0400,2020-06-23 15:00:00-0400,upper,10230.516391,42.0,63.0,-63.0,SL,-0.0,BE
2020-06-29,2020,2020-06-29 09:41:00-0400,2020-06-29 15:00:00-0400,lower,9758.955832,43.25,64.875,64.875,TP,64.875,TP
2020-06-30,2020,2020-06-30 01:21:00-0400,2020-06-30 15:00:00-0400,upper,10024.812948,5.5,8.25,8.25,TP,8.25,TP
2020-07-01,2020,2020-07-01 09:33:00-0400,2020-07-01 15:00:00-0400,upper,10189.419168,68.5,102.75,-73.5808,cutoff,-0.0,BE
2020-07-02,2020,2020-07-02 04:27:00-0400,2020-07-02 15:00:00-0400,upper,10329.492613,29.25,43.875,-43.875,SL,-0.0,BE
2020-07-02,2020,2020-07-02 08:30:00-0400,2020-07-02 15:00:00-0400,upper,10344.292603,27.5,41.25,-41.25,SL,-0.0,BE
2020-07-02,2020,2020-07-02 08:53:00-0400,2020-07-02 15:00:00-0400,upper,10378.763014,27.5,41.25,-41.25,SL,-0.0,BE
2020-07-06,2020,2020-07-05 21:46:00-0400,2020-07-06 15:00:00-0400,upper,10467.84084,28.0,42.0,-42.0,SL,-0.0,BE
2020-07-06,2020,2020-07-06 10:00:00-0400,2020-07-06 15:00:00-0400,upper,10530.716111,53.5,80.25,-80.25,SL,-0.0,BE
2020-07-07,2020,2020-07-06 19:33:00-0400,2020-07-07 15:00:00-0400,upper,10645.149838,30.5,45.75,45.75,TP,-0.0,BE
2020-07-13,2020,2020-07-13 07:06:00-0400,2020-07-13 15:00:00-0400,upper,10926.109448,21.5,32.25,-32.25,SL,-0.0,BE
2020-07-14,2020,2020-07-14 08:51:00-0400,2020-07-14 15:00:00-0400,lower,10556.529124,82.5,123.75,-123.75,SL,0.0,BE
2020-07-14,2020,2020-07-14 09:02:00-0400,2020-07-14 15:00:00-0400,lower,10495.390552,164.5,200.0,115.8594,cutoff,0.0,BE
2020-07-14,2020,2020-07-14 09:52:00-0400,2020-07-14 15:00:00-0400,lower,10416.702043,164.5,200.0,200.0,TP,200.0,TP
2020-07-14,2020,2020-07-14 09:53:00-0400,2020-07-14 15:00:00-0400,lower,10402.458341,164.5,200.0,200.0,TP,200.0,TP
2020-07-16,2020,2020-07-16 05:11:00-0400,2020-07-16 15:00:00-0400,lower,10513.317772,68.25,102.375,102.375,TP,0.0,BE
2020-07-20,2020,2020-07-20 10:27:00-0400,2020-07-20 15:00:00-0400,upper,10766.16746,89.25,133.875,-122.3325,cutoff,-0.0,BE
2020-07-24,2020,2020-07-24 02:57:00-0400,2020-07-24 15:00:00-0400,lower,10437.617994,34.0,51.0,-51.0,SL,-51.0,SL
2020-08-03,2020,2020-08-03 09:33:00-0400,2020-08-03 15:00:00-0400,upper,11023.644868,19.75,29.625,-29.625,SL,-29.625,SL
2020-08-05,2020,2020-08-05 02:05:00-0400,2020-08-05 15:00:00-0400,upper,11106.176913,17.0,25.5,-25.5,SL,-0.0,BE
2020-08-05,2020,2020-08-05 03:00:00-0400,2020-08-05 15:00:00-0400,upper,11129.013826,32.0,48.0,48.0,TP,-0.0,BE
2020-08-13,2020,2020-08-13 09:31:00-0400,2020-08-13 15:00:00-0400,upper,11198.889331,62.25,93.375,40.3893,cutoff,-0.0,BE
2020-08-13,2020,2020-08-13 09:40:00-0400,2020-08-13 15:00:00-0400,upper,11226.375104,62.25,93.375,93.375,TP,-0.0,BE
2020-08-18,2020,2020-08-17 19:31:00-0400,2020-08-18 15:00:00-0400,upper,11308.249889,11.5,17.25,17.25,TP,-0.0,BE
2020-08-18,2020,2020-08-18 09:35:00-0400,2020-08-18 15:00:00-0400,upper,11353.428427,41.75,62.625,62.625,TP,62.625,TP
2020-08-18,2020,2020-08-18 09:38:00-0400,2020-08-18 15:00:00-0400,upper,11375.798347,41.75,62.625,62.625,TP,62.625,TP
2020-08-18,2020,2020-08-18 09:38:00-0400,2020-08-18 15:00:00-0400,upper,11369.976297,41.75,62.625,62.625,TP,62.625,TP
2020-08-21,2020,2020-08-20 20:00:00-0400,2020-08-21 15:00:00-0400,upper,11503.059627,13.0,19.5,-19.5,SL,-19.5,SL
2020-08-24,2020,2020-08-24 04:00:00-0400,2020-08-24 15:00:00-0400,upper,11657.182826,37.75,56.625,-56.625,SL,-0.0,BE
2020-08-26,2020,2020-08-26 06:54:00-0400,2020-08-26 15:00:00-0400,upper,11773.882955,17.75,26.625,26.625,TP,26.625,TP
2020-09-01,2020,2020-09-01 02:16:00-0400,2020-09-01 15:00:00-0400,upper,12175.528272,18.75,28.125,-28.125,SL,-0.0,BE
2020-09-01,2020,2020-09-01 03:21:00-0400,2020-09-01 15:00:00-0400,upper,12206.825694,31.25,46.875,46.875,TP,-0.0,BE
2020-09-01,2020,2020-09-01 03:22:00-0400,2020-09-01 15:00:00-0400,upper,12216.688193,31.25,46.875,46.875,TP,-0.0,BE
2020-09-02,2020,2020-09-02 05:56:00-0400,2020-09-02 15:00:00-0400,upper,12458.311956,29.5,44.25,44.25,TP,44.25,TP
2020-09-03,2020,2020-09-03 10:19:00-0400,2020-09-03 15:00:00-0400,lower,12087.29943,138.0,200.0,-200.0,SL,-200.0,SL
2020-09-04,2020,2020-09-03 19:06:00-0400,2020-09-04 15:00:00-0400,lower,11622.124258,119.25,178.875,178.875,TP,0.0,BE
2020-09-04,2020,2020-09-04 10:15:00-0400,2020-09-04 15:00:00-0400,lower,11457.682294,342.0,200.0,-200.0,SL,-200.0,SL
2020-09-08,2020,2020-09-08 06:25:00-0400,2020-09-08 15:00:00-0400,lower,11253.833138,126.75,190.125,-115.8331,cutoff,0.0,BE
2020-09-08,2020,2020-09-08 09:41:00-0400,2020-09-08 15:00:00-0400,lower,11134.0529,101.5,152.25,152.25,TP,152.25,TP
2020-09-16,2020,2020-09-16 04:08:00-0400,2020-09-16 15:00:00-0400,upper,11505.250842,27.0,40.5,40.5,TP,-0.0,BE
2020-09-16,2020,2020-09-16 04:08:00-0400,2020-09-16 15:00:00-0400,upper,11506.810728,27.0,40.5,40.5,TP,-0.0,BE
2020-09-17,2020,2020-09-17 08:30:00-0400,2020-09-17 15:00:00-0400,lower,10994.689272,81.5,122.25,122.25,TP,0.0,BE
2020-09-17,2020,2020-09-17 09:10:00-0400,2020-09-17 15:00:00-0400,lower,10928.374158,74.5,111.75,111.75,TP,111.75,TP
2020-09-21,2020,2020-09-21 04:48:00-0400,2020-09-21 15:00:00-0400,lower,10727.425619,123.25,184.875,93.8244,cutoff,0.0,BE
2020-09-28,2020,2020-09-28 04:10:00-0400,2020-09-28 15:00:00-0400,upper,11249.324381,34.5,51.75,-51.75,SL,-0.0,BE
2020-09-28,2020,2020-09-28 05:32:00-0400,2020-09-28 15:00:00-0400,upper,11276.112173,53.0,79.5,-79.5,SL,-0.0,BE
2020-09-28,2020,2020-09-28 06:17:00-0400,2020-09-28 15:00:00-0400,upper,11326.604011,29.25,43.875,43.875,TP,-0.0,BE
2020-09-28,2020,2020-09-28 08:06:00-0400,2020-09-28 15:00:00-0400,upper,11360.491702,42.25,63.375,63.375,TP,63.375,TP
2020-09-30,2020,2020-09-30 02:10:00-0400,2020-09-30 15:00:00-0400,lower,11169.921437,93.25,139.875,139.875,TP,139.875,TP
2020-10-01,2020,2020-10-01 05:41:00-0400,2020-10-01 15:00:00-0400,upper,11532.337473,56.75,85.125,-52.9125,cutoff,-0.0,BE
2020-10-01,2020,2020-10-01 05:42:00-0400,2020-10-01 15:00:00-0400,upper,11533.578563,56.75,85.125,-51.6714,cutoff,-0.0,BE
2020-10-01,2020,2020-10-01 08:39:00-0400,2020-10-01 15:00:00-0400,upper,11582.995005,34.75,52.125,52.125,TP,52.125,TP
2020-10-01,2020,2020-10-01 08:39:00-0400,2020-10-01 15:00:00-0400,upper,11582.121047,34.75,52.125,52.125,TP,52.125,TP
2020-10-02,2020,2020-10-02 01:30:00-0400,2020-10-02 15:00:00-0400,lower,11332.60493,116.25,174.375,-38.1049,cutoff,0.0,BE
2020-10-08,2020,2020-10-08 02:42:00-0400,2020-10-08 15:00:00-0400,upper,11565.10724,13.0,19.5,19.5,TP,19.5,TP
2020-10-09,2020,2020-10-08 23:08:00-0400,2020-10-09 15:00:00-0400,upper,11596.252641,16.75,25.125,25.125,TP,-0.0,BE
2020-10-09,2020,2020-10-09 08:56:00-0400,2020-10-09 15:00:00-0400,upper,11616.392867,36.0,54.0,-54.0,SL,-0.0,BE
2020-10-09,2020,2020-10-09 09:35:00-0400,2020-10-09 15:00:00-0400,upper,11618.987829,42.5,63.75,-63.75,SL,-0.0,BE
2020-10-09,2020,2020-10-09 09:43:00-0400,2020-10-09 15:00:00-0400,upper,11626.478295,42.5,63.75,-63.75,SL,-0.0,BE
2020-10-09,2020,2020-10-09 10:37:00-0400,2020-10-09 15:00:00-0400,upper,11647.987374,51.25,76.875,-26.7626,cutoff,-0.0,BE
2020-10-09,2020,2020-10-09 10:49:00-0400,2020-10-09 15:00:00-0400,upper,11658.258712,51.25,76.875,-16.4913,cutoff,-0.0,BE
2020-10-12,2020,2020-10-11 19:46:00-0400,2020-10-12 15:00:00-0400,upper,11749.39507,57.25,85.875,-85.875,SL,-0.0,BE
2020-10-12,2020,2020-10-11 21:52:00-0400,2020-10-12 15:00:00-0400,upper,11765.108818,27.25,40.875,-40.875,SL,-0.0,BE
2020-10-12,2020,2020-10-12 03:58:00-0400,2020-10-12 15:00:00-0400,upper,11794.396357,16.25,24.375,-24.375,SL,-24.375,SL
2020-10-15,2020,2020-10-14 22:50:00-0400,2020-10-15 15:00:00-0400,lower,11886.276118,76.25,114.375,-114.375,SL,0.0,BE
2020-10-15,2020,2020-10-14 23:00:00-0400,2020-10-15 15:00:00-0400,lower,11869.462071,46.25,69.375,-69.375,SL,0.0,BE
2020-10-22,2020,2020-10-22 10:32:00-0400,2020-10-22 15:00:00-0400,lower,11559.06321,59.25,88.875,88.875,TP,0.0,BE
2020-10-28,2020,2020-10-28 09:40:00-0400,2020-10-28 15:00:00-0400,lower,11338.641182,68.25,102.375,-102.375,SL,-102.375,SL
2020-10-30,2020,2020-10-30 01:45:00-0400,2020-10-30 15:00:00-0400,lower,11084.857133,27.75,41.625,-41.625,SL,-41.625,SL
2020-11-04,2020,2020-11-03 20:52:00-0500,2020-11-04 15:00:00-0500,upper,11392.753063,114.5,171.75,-171.75,SL,-0.0,BE
2020-11-04,2020,2020-11-03 22:00:00-0500,2020-11-04 15:00:00-0500,upper,11492.28181,175.5,200.0,-200.0,SL,-200.0,SL
2020-11-05,2020,2020-11-04 22:27:00-0500,2020-11-05 15:00:00-0500,upper,11875.730156,65.75,98.625,-98.625,SL,-98.625,SL
2020-11-09,2020,2020-11-08 19:40:00-0500,2020-11-09 15:00:00-0500,upper,12264.887182,135.75,200.0,200.0,TP,-0.0,BE
2020-11-09,2020,2020-11-08 19:58:00-0500,2020-11-09 15:00:00-0500,upper,12279.630216,135.75,200.0,200.0,TP,-0.0,BE
2020-11-09,2020,2020-11-08 20:09:00-0500,2020-11-09 15:00:00-0500,upper,12337.787929,91.75,137.625,137.625,TP,-0.0,BE
2020-11-09,2020,2020-11-08 22:53:00-0500,2020-11-09 15:00:00-0500,upper,12357.348882,33.0,49.5,-49.5,SL,-49.5,SL
2020-11-10,2020,2020-11-09 19:24:00-0500,2020-11-10 15:00:00-0500,lower,11791.119784,51.25,76.875,76.875,TP,76.875,TP
2020-11-10,2020,2020-11-09 22:38:00-0500,2020-11-10 15:00:00-0500,lower,11736.362818,141.25,200.0,-200.0,SL,0.0,BE
2020-11-12,2020,2020-11-12 04:58:00-0500,2020-11-12 15:00:00-0500,upper,11943.547031,35.75,53.625,53.625,TP,-0.0,BE
2020-11-19,2020,2020-11-18 22:11:00-0500,2020-11-19 15:00:00-0500,lower,11840.639869,17.0,25.5,25.5,TP,25.5,TP
2020-11-25,2020,2020-11-24 19:10:00-0500,2020-11-25 15:00:00-0500,upper,12141.81307,34.5,51.75,51.75,TP,-0.0,BE
2020-11-25,2020,2020-11-24 19:16:00-0500,2020-11-25 15:00:00-0500,upper,12150.068327,34.5,51.75,51.75,TP,-0.0,BE
2020-11-26,2020,2020-11-25 20:33:00-0500,2020-11-26 15:00:00-0500,upper,12188.735131,17.0,25.5,-25.5,SL,-0.0,BE
2020-11-27,2020,2020-11-27 10:17:00-0500,2020-11-27 15:00:00-0500,upper,12270.439817,40.0,60.0,-2.8102,cutoff,-0.0,BE
2020-12-01,2020,2020-12-01 10:02:00-0500,2020-12-01 15:00:00-0500,upper,12410.052418,61.0,91.5,-91.5,SL,-0.0,BE
2020-12-07,2020,2020-12-07 09:58:00-0500,2020-12-07 15:00:00-0500,upper,12586.464225,15.5,23.25,-23.25,SL,-0.0,BE
2020-12-10,2020,2020-12-10 01:44:00-0500,2020-12-10 15:00:00-0500,lower,12306.297441,22.25,33.375,33.375,TP,33.375,TP
2020-12-14,2020,2020-12-14 09:57:00-0500,2020-12-14 15:00:00-0500,upper,12513.505256,47.5,71.25,-1.4947,cutoff,-0.0,BE
2020-12-15,2020,2020-12-15 09:30:00-0500,2020-12-15 15:00:00-0500,upper,12569.580163,22.25,33.375,33.375,TP,33.375,TP
2020-12-17,2020,2020-12-17 02:21:00-0500,2020-12-17 15:00:00-0500,upper,12722.324964,7.5,11.25,-11.25,SL,-11.25,SL
2020-12-18,2020,2020-12-18 04:09:00-0500,2020-12-18 15:00:00-0500,upper,12771.969398,31.25,46.875,46.875,TP,-0.0,BE
2020-12-18,2020,2020-12-18 09:18:00-0500,2020-12-18 15:00:00-0500,upper,12787.820548,30.75,46.125,46.125,TP,46.125,TP
2020-12-21,2020,2020-12-21 05:07:00-0500,2020-12-21 15:00:00-0500,lower,12570.712238,84.5,126.75,126.75,TP,0.0,BE
2020-12-21,2020,2020-12-21 05:23:00-0500,2020-12-21 15:00:00-0500,lower,12556.000016,84.5,126.75,126.75,TP,0.0,BE
2020-12-28,2020,2020-12-28 08:45:00-0500,2020-12-28 15:00:00-0500,upper,12816.798685,21.5,32.25,32.25,TP,32.25,TP
2020-12-29,2020,2020-12-29 00:37:00-0500,2020-12-29 15:00:00-0500,upper,12879.983338,11.25,16.875,-16.875,SL,-0.0,BE
2020-12-29,2020,2020-12-29 09:30:00-0500,2020-12-29 15:00:00-0500,upper,12901.412762,9.5,14.25,14.25,TP,14.25,TP
